0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,cluster_names
0.0,1.0073766,0.6435826,0.90103185,0.71861666,1.5128981,1.3416284,2.3502426,4.279891,6.9253135,10.393141,14.866298,17.471157,17.87438,17.892096,
0.0,0.0,0.6389549,1.0427419,0.7793854,1.5550716,1.4594493,2.495866,4.9748755,7.2463684,11.225921,16.221066,18.791212,19.254606,19.263142,1
0.0,0.0,0.6387706,0.7667755,0.6489927,1.4439402,1.2081188,2.1675034,3.6284485,6.4851427,9.423912,13.347663,15.908301,16.250612,16.275522,2
0.0,0.0,0.0,1.6100963,1.0864613,2.7620676,2.3384206,4.276142,8.715957,12.845084,19.098982,27.181984,30.353119,30.98221,30.98221,11
0.0,0.0,0.0,1.6561457,1.405428,2.1577058,2.228417,3.5733643,6.9838076,10.071472,16.17459,23.701912,28.456789,29.2724,29.29859,12
0.0,0.0,0.0,1.1169851,1.149852,2.2723527,1.7116038,3.241802,5.7439604,10.894752,14.83886,21.700932,25.540592,26.300573,26.374126,21
0.0,0.0,0.0,1.2995831,0.90797037,2.2485096,2.1187027,3.5633903,5.616796,9.491601,14.666667,20.132448,24.286375,24.61755,24.625593,22
0.0,0.0,0.0,0.0,0.63087016,1.344307,1.0568737,2.478826,3.577515,5.5787554,8.378346,12.758869,15.426508,16.241795,16.269817,122
0.0,0.0,0.0,0.0,1.2381645,1.2672228,1.7916152,1.929717,5.0376124,6.625269,11.503669,16.097075,19.17188,19.221117,19.221117,121
0.0,0.0,0.0,0.0,0.6637527,1.7236112,1.5421778,2.7053251,4.446148,6.5069323,10.563946,13.854443,16.810665,16.894234,16.894234,221
0.0,0.0,0.0,0.0,0.72695863,1.7350693,1.7022753,2.769697,4.2344933,8.031249,11.886669,16.975924,20.371275,20.809977,20.822977,222
0.0,0.0,0.0,0.0,0.9117117,2.844168,1.7104094,3.1408668,4.958975,9.816548,13.035481,20.183132,24.044998,25.063622,25.186611,212
0.0,0.0,0.0,0.0,1.2512742,1.4625299,1.3406762,2.628131,5.417521,9.668725,13.642984,18.478891,21.422768,21.73854,21.744942,211
0.0,0.0,0.0,0.0,1.1034371,1.7610041,1.9128712,2.9650152,5.9065995,9.351937,13.9354,18.137817,20.838287,21.037691,21.037691,111
0.0,0.0,0.0,0.0,0.4898529,1.6734158,1.1769829,2.411461,5.006956,6.9810305,10.363557,15.818075,17.253347,17.76893,17.76893,112
0.0,0.0,0.0,0.0,0.0,1.3168952,1.3600041,1.4238658,3.8196156,5.051664,8.733429,13.06739,16.19095,16.249657,16.249657,1212
0.0,0.0,0.0,0.0,0.0,0.624529,1.771909,2.1383078,5.003757,6.445345,11.371958,12.813435,13.761743,13.761743,13.761743,1211
0.0,0.0,0.0,0.0,0.0,1.9599189,1.351238,3.1308942,4.4486485,6.6306014,11.12223,17.880772,22.396185,23.531689,23.602505,1222
0.0,0.0,0.0,0.0,0.0,2.3579488,2.278469,5.468675,8.139351,14.000066,16.901756,23.645594,27.211376,28.7283,28.7283,1221
0.0,0.0,0.0,0.0,0.0,3.7440624,1.8029068,3.1426706,5.246275,10.123516,14.581701,22.580418,27.351141,28.93985,29.158558,2122
0.0,0.0,0.0,0.0,0.0,2.2883162,2.0578556,4.3582625,5.9127426,12.497812,13.716193,21.230862,24.468508,24.787407,24.787407,2121
0.0,0.0,0.0,0.0,0.0,2.601613,1.8653196,3.4833314,5.766125,8.370957,14.308745,18.5897,24.403036,24.4878,24.4878,2212
